geo,country,year,house_price_index_2015_100,salary_national_currency,salary_index_2015_100,house_price_adjusted_by_salary_index_2015_100,change_vs_2015_pct
EU27_2020,European Union - 27 countries (from 2020),2015,100,29889,100,100,0
EU27_2020,European Union - 27 countries (from 2020),2016,104.31,30390,101.676202,102.590378,2.590378
EU27_2020,European Union - 27 countries (from 2020),2017,109.31,31110,104.085115,105.01982,5.01982
EU27_2020,European Union - 27 countries (from 2020),2018,114.81,31794,106.373582,107.930933,7.930933
EU27_2020,European Union - 27 countries (from 2020),2019,120.4,32778,109.665763,109.788138,9.788138
EU27_2020,European Union - 27 countries (from 2020),2020,127.14,32515,108.785841,116.871827,16.871827
EU27_2020,European Union - 27 countries (from 2020),2021,137.84,33915,113.469838,121.477215,21.477215
EU27_2020,European Union - 27 countries (from 2020),2022,148.86,35648,119.267958,124.811393,24.811393
EU27_2020,European Union - 27 countries (from 2020),2023,148.45,37840,126.60176,117.257454,17.257454
EU27_2020,European Union - 27 countries (from 2020),2024,153.45,39808,133.186122,115.214707,15.214707
BE,Belgium,2015,100,44132,100,100,0
BE,Belgium,2016,102.33,45076,102.139037,100.186963,0.186963
BE,Belgium,2017,105.95,45364,102.791625,103.072599,3.072599
BE,Belgium,2018,109.15,46422,105.188979,103.765624,3.765624
BE,Belgium,2019,113.23,47550,107.744947,105.090775,5.090775
BE,Belgium,2020,118.09,46543,105.463156,111.972754,11.972754
BE,Belgium,2021,125.96,49706,112.630291,111.834924,11.834924000000001
BE,Belgium,2022,132.93,53559,121.360917,109.532791,9.532791
BE,Belgium,2023,136.05,57756,130.871023,103.957314,3.957314
BE,Belgium,2024,140.42,59632,135.121907,103.920973,3.920973
BG,Bulgaria,2015,100,12467,100,100,0
BG,Bulgaria,2016,107.02,13235,106.160263,100.809848,0.809848
BG,Bulgaria,2017,116.3,14508,116.37122,99.938799,-0.061201
BG,Bulgaria,2018,123.96,15894,127.48857,97.232246,-2.767754
BG,Bulgaria,2019,131.42,17013,136.464266,96.3036,-3.6964
BG,Bulgaria,2020,137.41,18187,145.881126,94.193131,-5.806869
BG,Bulgaria,2021,149.33,20233,162.292452,92.012905,-7.987095
BG,Bulgaria,2022,169.92,23234,186.364001,91.176407,-8.823593
BG,Bulgaria,2023,186.67,26409,211.831234,88.122038,-11.877962
BG,Bulgaria,2024,217.47,30095,241.397289,90.088004,-9.911996
CZ,Czechia,2015,100,338141,100,100,0
CZ,Czechia,2016,107.2,355242,105.057358,102.039498,2.039498
CZ,Czechia,2017,119.7,382828,113.215493,105.727579,5.727579
CZ,Czechia,2018,130,413864,122.393913,106.214433,6.214433
CZ,Czechia,2019,141.9,446025,131.905034,107.577396,7.577396
CZ,Czechia,2020,153.9,455600,134.736693,114.222783,14.222783
CZ,Czechia,2021,184.2,483946,143.119586,128.703558,28.703558
CZ,Czechia,2022,215.3,524971,155.252099,138.677674,38.677674
CZ,Czechia,2023,211.7,566699,167.592513,126.318292,26.318292
CZ,Czechia,2024,222.3,602841,178.280954,124.690829,24.690829
DK,Denmark,2015,100,424502,100,100,0
DK,Denmark,2016,104.57,428936,101.044518,103.489038,3.489038
DK,Denmark,2017,109.75,436759,102.887383,106.670027,6.670027
DK,Denmark,2018,114.59,443604,104.499861,109.655648,9.655648
